name,location,price,rating,quality,review,bed,size,distance_from_center,room_type,nights,adults,free_cancellation
WIT Hotel,"9th arr., Paris","IRR 7,951,542",7.1,Good,"3,300 reviews",1 double bed,20m²,1.9,Suite,1 night, 1 adult,
UCPA SPORT STATION HOSTEL PARIS,"19th arr., Paris","IRR 1,397,677",8,Very good,"5,921 reviews",1 single bed,,4.6,Single Bed in 6-Bed Dormitory Room,1 night, 1 adult,
Timhotel Montmartre,"18th arr., Paris","IRR 7,569,083",8.3,Very good,"2,532 reviews",1 single bed,,3.4,Comfort Single Room,1 night, 1 adult,
Hôtel Galileo Champs Elysées,"8th arr., Paris","IRR 6,447,737",8.6,Fabulous,"1,457 reviews",1 large double bed,,4.2,Classic Room,1 night, 1 adult,
Hôtel Le Daum,"12th arr., Paris","IRR 7,913,496",8.3,Very good,"1,273 reviews",1 double bed,,4.1,Comfort Double Room,1 night, 1 adult,
Le Relais du Marais,"3rd arr., Paris","IRR 9,259,111",8,Very good,"1,695 reviews",1 single bed,,1.3,Single Room,1 night, 1 adult,
Grand Hotel Dore,"12th arr., Paris","IRR 7,809,371",8.2,Very good,"1,155 reviews",1 single bed,,3.9,Standard Single Room,1 night, 1 adult,
Hôtel de Lille - Saint-Germain des Près,"7th arr., Paris","IRR 13,776,532",8.7,Fabulous,864 reviews,1 large double bed,,1.6,Executive Double Room,1 night, 1 adult,
Hôtel Moderniste,"15th arr., Paris","IRR 11,173,408",9.1,Superb,"1,668 reviews",Multiple bed types,,4.9,Large Triple Room,1 night, 1 adult,
Le Robinet d'Or,"10th arr., Paris","IRR 9,531,438",8.9,Fabulous,"1,169 reviews",1 large double bed,,2.6,Standard Double Room,1 night, 1 adult,
Generator Paris,"10th arr., Paris","IRR 1,269,523",7.3,Good,"11,103 reviews",1 bunk bed,,2.7,Bed in 10-Bed Mixed Dormitory Room,1 night, 1 adult,
Timhotel Opéra Blanche Fontaine,"9th arr., Paris","IRR 9,211,053",8,Very good,"1,843 reviews",1 single bed,,3.2,Comfort Single Room,1 night, 1 adult,
Lennon by Avalon Hotel Paris Gare du Nord,"10th arr., Paris","IRR 3,914,698",7.4,Good,"2,242 reviews",1 single bed,,2.7,Charm Standard Single Room,1 night, 1 adult,
Austin's Saint Lazare Hotel,"9th arr., Paris","IRR 10,312,375",8.1,Very good,"2,923 reviews",1 double bed,,2.9,Double Room,1 night, 1 adult,
Hotel Bridget,"20th arr., Paris","IRR 7,649,179",8.1,Very good,"1,127 reviews",1 large double bed,,3.5,Double Room,1 night, 1 adult,
Mode Paris Aparthotel,"16th arr., Paris","IRR 15,325,991",9.2,Superb,480 reviews,1 double bed,23m²,5,Superior Studio,1 night, 1 adult,
WIT Hotel,"9th arr., Paris","IRR 7,951,542",7.1,Good,"3,300 reviews",1 double bed,20m²,1.9,Suite,1 night, 1 adult,
Hotel Novex Paris,"13th arr., Paris","IRR 7,191,430",4.9,Review score,"1,206 reviews",1 single bed,,3.8,Single Room,1 night, 1 adult,
Generator Paris,"10th arr., Paris","IRR 1,269,523",7.3,Good,"11,103 reviews",1 bunk bed,,2.7,Bed in 10-Bed Mixed Dormitory Room,1 night, 1 adult,
Hôtel Galileo Champs Elysées,"8th arr., Paris","IRR 6,447,737",8.6,Fabulous,"1,457 reviews",1 large double bed,,4.2,Classic Room,1 night, 1 adult,
St Christopher's Inn Paris - Canal,"19th arr., Paris","IRR 1,636,364",7.3,Good,"7,379 reviews",1 bunk bed,,4.1,Bed in 12-Bed Dormitory Room,1 night, 1 adult,
St Christopher's Inn Paris - Gare du Nord,"10th arr., Paris","IRR 1,796,556",7.2,Good,"10,599 reviews",1 bunk bed,,2.6,Bed in 8-Bed Dormitory Female Room with Shared Bathroom,1 night, 1 adult,
Lennon by Avalon Hotel Paris Gare du Nord,"10th arr., Paris","IRR 3,914,698",7.4,Good,"2,242 reviews",1 single bed,,2.7,Charm Standard Single Room,1 night, 1 adult,
Les Rives de Notre-Dame,"5th arr., Paris","IRR 11,173,408",9.3,Superb,541 reviews,1 large double bed,,0.6,Superior Double Room,1 night, 1 adult,
WIT Hotel,"9th arr., Paris","IRR 7,951,542",7.1,Good,"3,300 reviews",1 double bed,20m²,1.9,Suite,1 night, 1 adult,
Lennon by Avalon Hotel Paris Gare du Nord,"10th arr., Paris","IRR 3,914,698",7.4,Good,"2,242 reviews",1 single bed,,2.7,Charm Standard Single Room,1 night, 1 adult,
Generator Paris,"10th arr., Paris","IRR 1,269,523",7.3,Good,"11,103 reviews",1 bunk bed,,2.7,Bed in 10-Bed Mixed Dormitory Room,1 night, 1 adult,
UCPA SPORT STATION HOSTEL PARIS,"19th arr., Paris","IRR 1,397,677",8,Very good,"5,921 reviews",1 single bed,,4.6,Single Bed in 6-Bed Dormitory Room,1 night, 1 adult,
Relais du Pré,"9th arr., Paris","IRR 6,087,305",8.1,Very good,"1,371 reviews",1 double bed,,2.4,Double Room,1 night, 1 adult,
