,name,location,price,rating,quality,review,bed,size,distance from centure,room_type,nights,adults,free_canelation
25,WIT Hotel,"9th arr., Paris","IRR 7,951,542",7.1,Good,"3,300 reviews",1 double bed,20m²,1.9,Suite,1 night, 1 adult,
27,UCPA SPORT STATION HOSTEL PARIS,"19th arr., Paris","IRR 1,397,677",8.0,Very good,"5,921 reviews",1 single bed,,4.6,Single Bed in 6-Bed Dormitory Room,1 night, 1 adult,
28,Timhotel Montmartre,"18th arr., Paris","IRR 7,569,083",8.3,Very good,"2,532 reviews",1 single bed,,3.4,Comfort Single Room,1 night, 1 adult,
29,Hôtel Galileo Champs Elysées,"8th arr., Paris","IRR 6,447,737",8.6,Fabulous,"1,457 reviews",1 large double bed,,4.2,Classic Room,1 night, 1 adult,
30,Hôtel Le Daum,"12th arr., Paris","IRR 7,913,496",8.3,Very good,"1,273 reviews",1 double bed,,4.1,Comfort Double Room,1 night, 1 adult,
31,Le Relais du Marais,"3rd arr., Paris","IRR 9,259,111",8.0,Very good,"1,695 reviews",1 single bed,,1.3,Single Room,1 night, 1 adult,
33,Grand Hotel Dore,"12th arr., Paris","IRR 7,809,371",8.2,Very good,"1,155 reviews",1 single bed,,3.9,Standard Single Room,1 night, 1 adult,
34,Hôtel de Lille - Saint-Germain des Près,"7th arr., Paris","IRR 13,776,532",8.7,Fabulous,864 reviews,1 large double bed,,1.6,Executive Double Room,1 night, 1 adult,
36,Hôtel Moderniste,"15th arr., Paris","IRR 11,173,408",9.1,Superb,"1,668 reviews",Multiple bed types,,4.9,Large Triple Room,1 night, 1 adult,
37,Le Robinet d'Or,"10th arr., Paris","IRR 9,531,438",8.9,Fabulous,"1,169 reviews",1 large double bed,,2.6,Standard Double Room,1 night, 1 adult,
38,Generator Paris,"10th arr., Paris","IRR 1,269,523",7.3,Good,"11,103 reviews",1 bunk bed,,2.7,Bed in 10-Bed Mixed Dormitory Room,1 night, 1 adult,
40,Timhotel Opéra Blanche Fontaine,"9th arr., Paris","IRR 9,211,053",8.0,Very good,"1,843 reviews",1 single bed,,3.2,Comfort Single Room,1 night, 1 adult,
41,Lennon by Avalon Hotel Paris Gare du Nord,"10th arr., Paris","IRR 3,914,698",7.4,Good,"2,242 reviews",1 single bed,,2.7,Charm Standard Single Room,1 night, 1 adult,
45,Austin's Saint Lazare Hotel,"9th arr., Paris","IRR 10,312,375",8.1,Very good,"2,923 reviews",1 double bed,,2.9,Double Room,1 night, 1 adult,
46,Hotel Bridget,"20th arr., Paris","IRR 7,649,179",8.1,Very good,"1,127 reviews",1 large double bed,,3.5,Double Room,1 night, 1 adult,
47,Mode Paris Aparthotel,"16th arr., Paris","IRR 15,325,991",9.2,Superb,480 reviews,1 double bed,23m²,5,Superior Studio,1 night, 1 adult,
50,WIT Hotel,"9th arr., Paris","IRR 7,951,542",7.1,Good,"3,300 reviews",1 double bed,20m²,1.9,Suite,1 night, 1 adult,
51,Hotel Novex Paris,"13th arr., Paris","IRR 7,191,430",4.9,Review score,"1,206 reviews",1 single bed,,3.8,Single Room,1 night, 1 adult,
52,Generator Paris,"10th arr., Paris","IRR 1,269,523",7.3,Good,"11,103 reviews",1 bunk bed,,2.7,Bed in 10-Bed Mixed Dormitory Room,1 night, 1 adult,
53,Hôtel Galileo Champs Elysées,"8th arr., Paris","IRR 6,447,737",8.6,Fabulous,"1,457 reviews",1 large double bed,,4.2,Classic Room,1 night, 1 adult,
55,St Christopher's Inn Paris - Canal,"19th arr., Paris","IRR 1,636,364",7.3,Good,"7,379 reviews",1 bunk bed,,4.1,Bed in 12-Bed Dormitory Room,1 night, 1 adult,
56,St Christopher's Inn Paris - Gare du Nord,"10th arr., Paris","IRR 1,796,556",7.2,Good,"10,599 reviews",1 bunk bed,,2.6,Bed in 8-Bed Dormitory Female Room with Shared Bathroom,1 night, 1 adult,
57,Lennon by Avalon Hotel Paris Gare du Nord,"10th arr., Paris","IRR 3,914,698",7.4,Good,"2,242 reviews",1 single bed,,2.7,Charm Standard Single Room,1 night, 1 adult,
59,Les Rives de Notre-Dame,"5th arr., Paris","IRR 11,173,408",9.3,Superb,541 reviews,1 large double bed,,0.6,Superior Double Room,1 night, 1 adult,
75,WIT Hotel,"9th arr., Paris","IRR 7,951,542",7.1,Good,"3,300 reviews",1 double bed,20m²,1.9,Suite,1 night, 1 adult,
76,Lennon by Avalon Hotel Paris Gare du Nord,"10th arr., Paris","IRR 3,914,698",7.4,Good,"2,242 reviews",1 single bed,,2.7,Charm Standard Single Room,1 night, 1 adult,
77,Generator Paris,"10th arr., Paris","IRR 1,269,523",7.3,Good,"11,103 reviews",1 bunk bed,,2.7,Bed in 10-Bed Mixed Dormitory Room,1 night, 1 adult,
78,UCPA SPORT STATION HOSTEL PARIS,"19th arr., Paris","IRR 1,397,677",8.0,Very good,"5,921 reviews",1 single bed,,4.6,Single Bed in 6-Bed Dormitory Room,1 night, 1 adult,
79,Relais du Pré,"9th arr., Paris","IRR 6,087,305",8.1,Very good,"1,371 reviews",1 double bed,,2.4,Double Room,1 night, 1 adult,
80,Hôtel Galileo Champs Elysées,"8th arr., Paris","IRR 6,447,737",8.6,Fabulous,"1,457 reviews",1 large double bed,,4.2,Classic Room,1 night, 1 adult,
81,Hôtel Le Daum,"12th arr., Paris","IRR 7,913,496",8.3,Very good,"1,273 reviews",1 double bed,,4.1,Comfort Double Room,1 night, 1 adult,
82,Timhotel Montmartre,"18th arr., Paris","IRR 7,569,083",8.3,Very good,"2,532 reviews",1 single bed,,3.4,Comfort Single Room,1 night, 1 adult,
83,Le Relais du Marais,"3rd arr., Paris","IRR 9,259,111",8.0,Very good,"1,695 reviews",1 single bed,,1.3,Single Room,1 night, 1 adult,
84,Hôtel Korner Etoile,"17th arr., Paris","IRR 8,722,467",8.3,Very good,"1,720 reviews",Multiple bed types,,5.3,Triple Room,1 night, 1 adult,
85,Hôtel Eiffel Turenne,"7th arr., Paris","IRR 7,368,843",8.6,Fabulous,"1,499 reviews",1 single bed,,3.2,Comfort Single Room with Shower,1 night, 1 adult,
86,Hôtel Tingis,"17th arr., Paris","IRR 3,604,325",6.9,Review score,"2,471 reviews",1 single bed,,4.7,Small Single Room,1 night, 1 adult,
87,Timhotel Opéra Blanche Fontaine,"9th arr., Paris","IRR 9,211,053",8.0,Very good,"1,843 reviews",1 single bed,,3.2,Comfort Single Room,1 night, 1 adult,
88,Grand Hôtel Magenta,"10th arr., Paris","IRR 3,964,758",6.9,Review score,"2,867 reviews",1 double bed,,2.7,Double Room,1 night, 1 adult,
90,Courcelles Etoile,"17th arr., Paris","IRR 4,845,815",8.2,Very good,"1,714 reviews",1 double bed,,5,Chambre Deluxe,1 night, 1 adult,
95,Grand Hotel Dore,"12th arr., Paris","IRR 7,809,371",8.2,Very good,"1,155 reviews",1 single bed,,3.9,Standard Single Room,1 night, 1 adult,
97,Chatillon Paris Montparnasse,"14th arr., Paris","IRR 5,086,103",8.1,Very good,"1,548 reviews",1 large double bed,,4,Classic Double Room,1 night, 1 adult,
100,WIT Hotel,"9th arr., Paris","IRR 7,951,542",7.1,Good,"3,300 reviews",1 double bed,20m²,1.9,Suite,1 night, 1 adult,
101,Hotel Novex Paris,"13th arr., Paris","IRR 7,191,430",4.9,Review score,"1,206 reviews",1 single bed,,3.8,Single Room,1 night, 1 adult,
102,Lennon by Avalon Hotel Paris Gare du Nord,"10th arr., Paris","IRR 3,914,698",7.4,Good,"2,242 reviews",1 single bed,,2.7,Charm Standard Single Room,1 night, 1 adult,
103,Generator Paris,"10th arr., Paris","IRR 1,269,523",7.3,Good,"11,103 reviews",1 bunk bed,,2.7,Bed in 10-Bed Mixed Dormitory Room,1 night, 1 adult,
104,UCPA SPORT STATION HOSTEL PARIS,"19th arr., Paris","IRR 1,397,677",8.0,Very good,"5,921 reviews",1 single bed,,4.6,Single Bed in 6-Bed Dormitory Room,1 night, 1 adult,
105,Relais du Pré,"9th arr., Paris","IRR 6,087,305",8.1,Very good,"1,371 reviews",1 double bed,,2.4,Double Room,1 night, 1 adult,
106,Hôtel Galileo Champs Elysées,"8th arr., Paris","IRR 6,447,737",8.6,Fabulous,"1,457 reviews",1 large double bed,,4.2,Classic Room,1 night, 1 adult,
107,Hôtel Le Daum,"12th arr., Paris","IRR 7,913,496",8.3,Very good,"1,273 reviews",1 double bed,,4.1,Comfort Double Room,1 night, 1 adult,
108,Timhotel Montmartre,"18th arr., Paris","IRR 7,569,083",8.3,Very good,"2,532 reviews",1 single bed,,3.4,Comfort Single Room,1 night, 1 adult,
109,Le Relais du Marais,"3rd arr., Paris","IRR 9,259,111",8.0,Very good,"1,695 reviews",1 single bed,,1.3,Single Room,1 night, 1 adult,
110,Hôtel Korner Etoile,"17th arr., Paris","IRR 8,722,467",8.3,Very good,"1,720 reviews",Multiple bed types,,5.3,Triple Room,1 night, 1 adult,
111,Hôtel Eiffel Turenne,"7th arr., Paris","IRR 7,368,843",8.6,Fabulous,"1,499 reviews",1 single bed,,3.2,Comfort Single Room with Shower,1 night, 1 adult,
112,Hôtel Tingis,"17th arr., Paris","IRR 3,604,325",6.9,Review score,"2,471 reviews",1 single bed,,4.7,Small Single Room,1 night, 1 adult,
113,Timhotel Opéra Blanche Fontaine,"9th arr., Paris","IRR 9,211,053",8.0,Very good,"1,843 reviews",1 single bed,,3.2,Comfort Single Room,1 night, 1 adult,
114,Grand Hôtel Magenta,"10th arr., Paris","IRR 3,964,758",6.9,Review score,"2,867 reviews",1 double bed,,2.7,Double Room,1 night, 1 adult,
115,citizenM Paris Gare de Lyon,"12th arr., Paris","IRR 11,974,369",8.3,Very good,"10,437 reviews",1 extra-large double bed,,2.1,King Room - Iconic View,1 night, 1 adult,
116,Courcelles Etoile,"17th arr., Paris","IRR 4,845,815",8.2,Very good,"1,714 reviews",1 double bed,,5,Chambre Deluxe,1 night, 1 adult,
117,Grand Hôtel De Turin,"9th arr., Paris","IRR 6,167,401",7.8,Good,"1,995 reviews",1 double bed,,2.8,Standard Double Room,1 night, 1 adult,
118,Hotel de la Paix Tour Eiffel,"7th arr., Paris","IRR 7,969,563",8.3,Very good,"1,078 reviews",1 single bed,,3.5,Single Room,1 night, 1 adult,
119,Hotel de la Bretonnerie,"4th arr., Paris","IRR 7,027,633",8.1,Very good,762 reviews,Beds: 1 double or 2 singles,,350,Classic Double Room,1 night, 1 adult,
120,Hotel Marena,"9th arr., Paris","IRR 5,726,872",7.9,Good,"1,552 reviews",2 single beds,,2.6,Twin Room,1 night, 1 adult,
121,Grand Hotel Dore,"12th arr., Paris","IRR 7,809,371",8.2,Very good,"1,155 reviews",1 single bed,,3.9,Standard Single Room,1 night, 1 adult,
122,Le Robinet d'Or,"10th arr., Paris","IRR 9,130,957",8.9,Fabulous,"1,169 reviews",1 large double bed,,2.6,Standard Double Room,1 night, 1 adult,
123,Chatillon Paris Montparnasse,"14th arr., Paris","IRR 5,086,103",8.1,Very good,"1,548 reviews",1 large double bed,,4,Classic Double Room,1 night, 1 adult,
124,Altona,"10th arr., Paris","IRR 5,566,680",7.6,Good,"4,902 reviews",Multiple bed types,,2.9,Single Room,1 night, 1 adult,
